FRId,TransDate,nav
018029,20161118,1022.67
018023,20161117,108.98
018013,20161117,1626.71
018038,20161117,189.66
018011,20161117,135.54
018022,20161117,867.73
018039,20161118,879.94
018042,20161117,138.88
018054,20161118,116.46
018032,20161117,1736.4
018057,20161117,303.87
018017,20161117,149.32
018019,20161117,110.42
018056,20161117,826.4
018048,20161117,995.35
018020,20161117,2811.52
018003,20161117,2443.8
018010,20161117,3043.04
018008,20161117,3168.61
018037,20161117,2457.2
018036,20161117,2548.25
018027,20161117,936.34
018028,20161117,404.48
018009,20161117,3245.39
018006,20161117,3021.49
018004,20161117,2527.63
018046,20161117,112.44
018033,20161117,834.97
018034,20161117,394.88
018025,20161117,2266.71
