howfundId,tejId,FRId,FCId,FDId
how251,T0428Y,,,
how252,T0429Y,,,
how253,T0431Y,,,
how254,T0436A,,,
how255,T0436B,,,
how256,T0436Y,,,
how257,T0438Y,,,
how258,T0439Y,,,
how259,T0440A,,,
how260,T0440B,,,
how261,T0443A,,,
how262,T0443B,,,
how263,T0443C,,,
how264,T0443D,,,
how265,T0443E,,,
how266,T0443F,,,
how267,T0447Y,,,
how268,T0449A,,,
how269,T0449B,,,
how270,T0449C,,,
how271,T0449D,,,
how272,T0449E,,,
how273,T0449Y,,,
how274,T0453A,,,
how275,T0453B,,,
how276,T0453Y,,,
how277,T0458A,,,
how278,T0458B,,,
how279,T0458C,,,
how280,T0458D,,,
how281,T0458E,,,
how282,T0458F,,,
how283,T0475A,,,
how284,T0475B,,,
how285,T0475C,,,
how286,T0502Y,YUI039,,
how287,T0503Y,YUI066,,
how288,T0504Y,YUI069,,
how289,T0506Y,YUI045,,
how290,T0507Y,YUI046,,
how291,T0508Y,YUI064,,
how292,T0509Y,YUI065,,
how293,T0513Y,YUI043,,
how294,T0516Y,YUI044,,
how295,T0537Y,YUI054,,
how296,T0538Y,YUI055,,
how297,T0539A,YUI058,,
how298,T0539B,,,
how299,T0542A,YUI060,,
how300,T0542B,,,
how301,T0546A,YUI062,,
how302,T0546B,,,
how303,T0553Y,YUI040,,
how304,T0556A,YUI004,,
how305,T0556B,YUI005,,
how306,T0556Y,YUI003,,
how307,T0557Y,YUI009,,
how308,T0558Y,YUI012,,
how309,T0560Y,YUI016,,
how310,T0566Y,YUI018,,
how311,T0567Y,YUI038,,
how312,T0568Y,YUI067,,
how313,T0569Y,YUI068,,
how314,T0571Y,YUI041,,
how315,T0572Y,YUI042,,
how316,T0574Y,YUI070,,
how317,T0575Y,YUI071,,
how318,T0576A,YUI047,,
how319,T0576B,,,
how320,T0576C,YUI001,,
how321,T0576D,YUI002,,
how322,T0577Y,YUI056,,
how323,T0578Y,YUI057,,
how324,T0581A,YUI007,,
how325,T0581B,YUI008,,
how326,T0581Y,YUI006,,
how327,T0583A,YUI010,,
how328,T0583B,,,
how329,T0585Y,YUI015,,
how330,T0586Y,YUI013,,
how331,T0587Y,YUI014,,
how332,T0588A,,,
how333,T0588B,,,
how334,T0589Y,YUI017,,
how335,T0591A,YUI020,,
how336,T0591Y,YUI019,,
how337,T0593A,YUI021,,
how338,T0593B,,,
how339,T0594A,YUI023,,
how340,T0594B,YUI024,,
how341,T0594C,,,
how342,T0595A,YUI026,,
how343,T0595B,YUI027,,
how344,T0596A,YUI028,,
how345,T0596B,YUI029,,
how346,T0597A,YUI030,,
how347,T0597B,,,
how348,T0597C,,,
how349,T0598A,YUI033,,
how350,T0598B,,,
how351,T0598C,,,
how352,T0598D,,,
how353,T0599A,YUI037,,
how354,T0599B,,,
how355,T0599C,YUI050,,
how356,T0599D,,,
how357,T05A1A,YUI052,,
how358,T05A1B,YUI053,,
how359,T05A2A,,,
how360,T05A2B,,,
how361,T0601Y,Ivc014,,
how362,T0602Y,Ivc015,,
how363,T0603Y,,,
how364,T0605Y,Ivc013,,
how365,T0606Y,Ivc002,,
how366,T0609Y,Ivc001,,
how367,T0612A,Ivc003,,
how368,T0612B,,,
how369,T0612C,Ivc005,,
how370,T0612D,,,
how371,T0612E,Ivc007,,
how372,T0612F,,,
how373,T0613A,Ivc009,,
how374,T0613B,,,
how375,T0613C,Ivc011,,
how376,T0613D,,,
how377,T0704Y,ESI069,,
how378,T0705Y,ESI070,,
how379,T0708Y,ESI071,,
how380,T0711Y,ESI067,,
how381,T0712Y,,,
how382,T0715Y,ESI005,,
how383,T0716Y,ESI006,,
how384,T0717Y,ESI007,,
how385,T0718Y,ESI004,,
how386,T0722B,,,
how387,T0722C,,,
how388,T0722D,,,
how389,T0722E,,,
how390,T0722F,,,
how391,T0722Y,ESI072,,
how392,T0723A,ESI009,,
how393,T0723B,ESI010,,
how394,T0723Y,ESI008,,
how395,T0727B,,,
how396,T0727C,ESI053,,
how397,T0727D,,,
how398,T0727E,ESI055,,
how399,T0727F,,,
how400,T0727Y,ESI051,,
how401,T0728B,,,
how402,T0728C,,,
how403,T0728D,,,
how404,T0728E,,,
how405,T0728F,,,
how406,T0728Y,ESI057,,
how407,T0729Y,ESI063,,
how408,T0730A,ESI064,,
how409,T0730B,,,
how410,T0732Y,ESI066,,
how411,T0733Y,ESI001,,
how412,T0735B,,,
how413,T0735Y,ESI002,,
how414,T0736Y,ESI011,,
how415,T0737A,ESI012,,
how416,T0737B,,,
how417,T0737C,,,
