基金碼,年月日,幣別,淨值(元),市價(元),溢(折)價(元),溢(折)價率%,淨值變動率%-日,淨值變動率%-週,近一個月變動率%,近三個月變動率%,近半年變動率%,近九個月變動率%,近一年變動率%,近二年變動率%,近三年變動率%,近四年變動率%,近五年變動率%,近六年變動率%,今年以來變動率%,成立以來變動率%,與上半年底比變動率%,與上月底比變動率%,與上季底比變動率%,與上週底比變動率%,與前二年底比變動率%,與前三年底比變動率%,與前四年底比變動率%,與前五年底比變動率%,基金統編,TEJ分類碼,
00634R FB上証反1,2016-08-31 00:00:00,NTD,9.56,9.5,-0.06,-0.627615,-0.416667,0.209644,-4.304304,-6.640625,-17.939914,-13.011829,-22.276423,None,None,None,None,None,-6.822612,-52.2,-7.094266,-4.304304,-7.094266,-0.208768,-24.426883,None,None,None,38633027,1237,
00635U 元大S&P 黃金,2016-08-31 00:00:00,NTD,21.27,21.4,0.13,0.611189,-0.374707,-1.390821,-3.62483,6.084788,4.264706,19.561551,12.124407,None,None,None,None,None,20.101637,6.35,-1.800554,-3.62483,-1.800554,-1.023732,None,None,None,None,38651191,None,
00636 國泰中國A50,2016-08-31 00:00:00,NTD,16.43,16.5,0.07,0.42605,0.427873,-0.424242,2.944862,2.880401,7.596595,-6.114286,-1.73445,None,None,None,None,None,-10.414395,-17.85,5.931657,2.944862,5.931657,0.61237,None,None,None,None,42260528,1235,
00637L 元大滬深300 正2,2016-08-31 00:00:00,NTD,12.22,12.28,0.06,0.490998,0.991736,-0.650407,6.724891,5.984389,27.6907,5.617978,21.956088,None,None,None,None,None,-6.288344,-38.9,10.288809,6.724891,10.288809,0.741962,None,None,None,None,42300253,1236,
00638R 元大滬深300 反1,2016-08-31 00:00:00,NTD,18.17,18.09,-0.08,-0.440286,-0.438356,0.16538,-4.46898,-5.315268,-15.762633,-10.536681,-19.850022,None,None,None,None,None,-4.368421,-9.15,-5.265902,-4.46898,-5.265902,-0.274424,None,None,None,None,42300232,1237,
00639 FB深100,2016-08-31 00:00:00,NTD,10.27,10.31,0.04,0.389484,0.686275,-0.484496,4.158215,2.7,6.867846,-8.629893,0.195122,None,None,None,None,None,-15.194055,-31.533333,2.905812,4.158215,2.905812,0.884086,None,None,None,None,42302273,1235,
00640L FB日本正2,2016-08-31 00:00:00,NTD,13.84,13.76,-0.08,-0.578035,2.518519,3.981968,-0.216294,-9.424084,-1.564723,-37.797753,-30.834583,None,None,None,None,None,-34.778511,-30.8,11.97411,-0.216294,11.97411,5.972435,None,None,None,None,42319561,1232,
00641R FB日本反1,2016-08-31 00:00:00,NTD,20.74,20.73,-0.01,-0.048216,-1.238095,-2.077432,-0.432069,1.966568,-4.731282,10.968432,3.7,None,None,None,None,None,8.871391,3.7,-6.786517,-0.432069,-6.786517,-2.857143,None,None,None,None,42319582,1232,
00642U 元大S&P 石油,2016-08-31 00:00:00,NTD,17.38,17.96,0.58,3.337169,-3.229399,-4.295154,3.513996,-9.24282,15.866667,-5.850488,-13.056528,None,None,None,None,None,4.321729,-13.1,-8.381655,3.513996,-8.381655,-5.543478,None,None,None,None,42320363,None,
00643 群益深証中小,2016-08-31 00:00:00,NTD,15.42,15.62,0.2,1.297017,-0.064809,-0.708307,2.119205,0.390625,3.838384,-19.435737,None,None,None,None,None,None,-21.286371,-22.938531,-1.34357,2.119205,-1.34357,0.194932,None,None,None,None,42323777,1235,
00643K 群益深証中小+R,2016-08-31 00:00:00,RMB,3.24,3.3,0.06,1.851852,0,None,None,None,None,None,None,None,None,None,None,None,None,-100,None,None,None,0.309598,None,None,None,None,None,1235,
00645 FB日本,2016-08-31 00:00:00,NTD,17.11,16.98,-0.13,-0.75979,1.182732,1.603325,1.242604,-3.114383,2.088305,-15.002484,None,None,None,None,None,None,-13.976873,-14.45,7.407407,1.242604,7.407407,3.258902,None,None,None,None,42328908,1232,
00646 元大S&P500,2016-08-31 00:00:00,NTD,20.54,20.5,-0.04,-0.194742,-0.145843,-0.242836,-0.676983,0.933661,6.812272,None,None,None,None,None,None,None,3.11245,2.7,1.935484,-0.676983,1.935484,0.341964,None,None,None,None,42333613,1231,
00647L 元大S&P500正2,2016-08-31 00:00:00,NTD,21.85,21.79,-0.06,-0.2746,-0.500911,-0.591447,-0.681818,4.896783,20.651574,None,None,None,None,None,None,None,10.24218,9.25,5.913718,-0.681818,5.913718,0.183402,None,None,None,None,42333579,1231,
00648R 元大S&P500反1,2016-08-31 00:00:00,NTD,18.2,18.18,-0.02,-0.10989,0.275482,0.165107,-0.273973,-4.960836,-13.662239,None,None,None,None,None,None,None,-9.136296,-9,-4.210526,-0.273973,-4.210526,0,None,None,None,None,42333563,1231,
00649 復華恒生,2016-08-31 00:00:00,NTD,17.28,17.14,-0.14,-0.810185,-0.115607,0.582072,4.410876,9.228824,15.276851,None,None,None,None,None,None,None,None,15.2,8.884688,4.410876,8.884688,0.465116,None,None,None,None,42329884,1233,
00650L 復華恒生正2,2016-08-31 00:00:00,NTD,21.38,21.31,-0.07,-0.327409,-0.186741,1.327014,10.662526,23.655292,40.936058,None,None,None,None,None,None,None,None,42.533333,19.108635,10.662526,19.108635,0.56444,None,None,None,None,42329863,1233,
00651R 復華恒生反1,2016-08-31 00:00:00,NTD,11.91,11.89,-0.02,-0.167926,0.084034,-0.75,-5.47619,-12.038405,-19.527027,None,None,None,None,None,None,None,None,-20.6,-9.49848,-5.47619,-9.49848,-0.334728,None,None,None,None,42329879,1233,
00652 富邦印度 NIFTY,2016-08-31 00:00:00,NTD,21.84,21.58,-0.26,-1.190476,0.459982,1.298701,0.367647,4.798464,None,None,None,None,None,None,None,None,None,9.2,3.654485,0.367647,3.654485,2.390999,None,None,None,None,42376963,1233,
00653L FB印度正2,2016-08-31 00:00:00,NTD,24.65,24.39,-0.26,-1.054767,0.859247,3.138075,2.028146,11.892873,None,None,None,None,None,None,None,None,None,23.25,9.409676,2.028146,9.409676,4.982964,None,None,None,None,42376990,1233,
00654R FB印度反1,2016-08-31 00:00:00,NTD,17.62,17.6,-0.02,-0.113507,-0.508187,-1.674107,-1.454139,-6.574761,None,None,None,None,None,None,None,None,None,-11.9,-5.013477,-1.454139,-5.013477,-2.598121,None,None,None,None,42376984,1233,
00655L 國泰中國A50正2,2016-08-31 00:00:00,NTD,23.02,23.05,0.03,0.130321,0.920649,-0.518583,7.269338,8.075117,None,None,None,None,None,None,None,None,None,15.1,11.639185,7.269338,11.639185,0.743982,None,None,None,None,42385148,1236,
00656R 國泰中國A50反1,2016-08-31 00:00:00,NTD,17.89,17.79,-0.1,-0.558971,-0.500556,0.111919,-4.126474,-5.64346,None,None,None,None,None,None,None,None,None,-10.55,-6.530825,-4.126474,-6.530825,-0.389755,None,None,None,None,42385127,1237,
00657 國泰日經225,2016-08-31 00:00:00,NTD,20.72,20.61,-0.11,-0.530888,0.925475,1.668302,1.768173,-1.754386,None,None,None,None,None,None,None,None,None,3.6,8.595388,1.768173,8.595388,3.135889,None,None,None,None,42389475,1232,
00658L 國泰日本正2,2016-08-31 00:00:00,NTD,21.32,21.26,-0.06,-0.281426,1.572177,3.746959,3.194579,-6.85889,None,None,None,None,None,None,None,None,None,6.6,15.932572,3.194579,15.932572,5.544554,None,None,None,None,42389496,1232,
00659R 國泰日本反1,2016-08-31 00:00:00,NTD,18.62,18.56,-0.06,-0.322234,-0.799148,-2.051552,-2.051552,0.539957,None,None,None,None,None,None,None,None,None,-6.9,-8.321024,-2.051552,-8.321024,-2.818372,None,None,None,None,42389480,1232,
00660 元大歐洲50,2016-08-31 00:00:00,NTD,20.94,20.73,-0.21,-1.002865,-0.333175,0,0.867052,None,None,None,None,None,None,None,None,None,None,4.7,4.962406,0.867052,4.962406,0.047778,None,None,None,None,42398684,1221,
00661 元大日經225,2016-08-31 00:00:00,NTD,21.39,21.26,-0.13,-0.607761,0.848656,1.422475,1.954242,None,None,None,None,None,None,None,None,None,None,6.95,7.97577,1.954242,7.97577,2.886003,None,None,None,None,42398663,1232,
00662 FB NASDAQ,2016-08-31 00:00:00,NTD,21.13,20.88,-0.25,-1.183152,0,-0.377181,0.284765,None,None,None,None,None,None,None,None,None,None,5.65,6.394763,0.284765,6.394763,-0.047304,None,None,None,None,42399305,1231,
