fundID,net
2111BB,30.47
2111CC,39.89
2114A6,12.7074
2114AA,12.8928
2120A7,12.3
2120AA,1226
2120AD,16.91
2120BB,1036
2120CC,1346
2120CD,17.39
2123A7,11.06
2123AA,19.71
2123AD,21.69
2123BB,16.62
2123C7,11.18
2123CC,21.56
2126A7,8.9
2126AA,16.02
2126AD,16.12
2126AY,14.27
2126BB,13.34
2126CA,7.86
2126CC,17.56
2126CY,15.11
2138A6,12.14
2138AA,22.48
2138BB,19.75
2138C6,12.92
2138CC,23.87
2141AA,30.43
2141CC,34.88
21428286,93.08
21529267,106.72
21629311,94.59
22796865,108.23
22881168,91.63
22908917,109.17
23116938,981.2
239655,2401.09
239659,2741.78
2468721,80.95
255790,843.62
2908778,71.05
2909491,51.94
3228657,136.65
345234,2604.54
3528013,105.9
415,17.38
454,17.99
469164,141.54
4731657,6379037.94
4731689,3128100.57
4731720,5159675.79
4731723,1033.33
4732024,127.29
4732789,208.32
4734592,4933583.76
4734599,125.28
474019,2255.83
512615,1049.8
512723,458.93
512728,253.29
512729,251.13
564492,884.68
564500,385.12
594600,825.81
594601,1734.53
595225,836.16
595742,405.92
601323,2928.17
601325,3155.64
601326,3114.21
601328,3014.49
601333,1761.86
608429,311.65
618344,596.42
618667,2586.62
618671,2498.46
818577,134.16
828785,7152
849534,1689.88
855245,234.63
883660,183.49
92920,850.81
A103X,9.1636
A104X,7.1899
A105X,12.1665
A107X,7.8404
A108X,9.9084
A140X,11.1071
A144A,13.81
AAETA,23.4773
AAETY,146.1353
AAEYF,128.3649
AAPPF,128.8878
AASBG,11.0627
AASBJ,4.9216
AB01X,9.5387
AB02X,8.8082
AB06X,13.9194
AB2,12.526
ABAGPADAUDH,16.91
ABAGPADUSD,16.82
ABAGPADZARH,112.45
ABAGPAEUR,55.84
ABAGPAHEDGE,33.77
ABAGPAUSD,62.19
ABAGPBDAUDH,16.85
ABAGPBDUSD,16.89
ABAGPBDZARH,112.03
ABAGPBEUR,43.98
ABAGPBHEDGE,31.82
ABAGPBUSD,48.98
ABAGPCEUR,49.06
ABAGPCHEDGE,33.07
ABAGPCUSD,54.64
ABAGPIEUR,65.2
ABAGPIHEDGE,35.56
ABAGPIUSD,72.61
ABAGPS1EUR,68.36
ABAGPS1USD,76.13
ABAGPSDUSD,117.75
ABAIPA2EUR,23.9
ABAIPA2USD,26.62
ABAIPAAAUDH,14.06
ABAIPAADURH,13.51
ABAIPAAGBPH,13.8
ABAIPAAUSD,14.13
ABAIPAAZARH,93.26
ABAIPAEUR,7.66
ABAIPATAUDH,14.65
ABAIPATCADH,14.36
ABAIPATEUR,7.65
ABAIPATHEDGE,14.39
ABAIPATNZDH,13.85
ABAIPATUSD,8.52
ABAIPAUSD,8.53
ABAIPB2EUR,19.68
ABAIPB2USD,21.92
ABAIPBAAUDH,13.77
ABAIPBAUSD,13.86
ABAIPBAZARH,92.02
ABAIPBEUR,7.66
ABAIPBTAUDH,14.69
ABAIPBTEUR,7.7
ABAIPBTUSD,8.58
ABAIPBUSD,8.53
ABAIPC2EUR,29.74
ABAIPC2USD,33.12
ABAIPCEUR,7.66
ABAIPCUSD,8.53
ABAIPI2EUR,13.87
ABAIPI2USD,15.45
ABAIPIAAUDH,15.67
ABAIPIAUSD,15.67
ABAIPIEUR,7.66
ABAIPITEUR,12.51
ABAIPITEURH,15.69
ABAIPSEUR,17.18
ABAXJIDUSD,12.95
ABAXJS1EUR,15.92
ABAXJS1USD,17.73
ABAXJSDUSD,89.47
ABB,11.605
ABCOPADAUDH,13.33
ABCOPADHEDGE,13.71
ABCOPADNZDH,13.5
ABCOPADUSD,13.76
ABCOPADZARH,86.76
ABCOPBDAUDH,13.3
ABCOPBDHEDGE,13.66
ABCOPBDNZDH,13.47
ABCOPBDUSD,13.76
ABCOPBDZARH,87.22
ABCOPSUSD,51.7
ABCUSEAUSD,16.51
ABCUSEIUSD,16.86
ABCUSES1USD,16.95
ABDMMAADAUDH,13.57
ABDMMAADHEDGE,13.6
ABDMMAADUSD,13.66
ABDMMAADZARH,89.7
ABDMMAAUSD,15.23
ABDMMABUSD,14.97
ABDMMAIUSD,15.43
ABDMMAS1USD,14.91
ABEGPAEUR,10.09
ABEGPAUSD,11.24
ABEGPBEUR,8.5
ABEGPBUSD,9.47
ABEGPCEUR,7.42
ABEGPCUSD,8.26
ABEGPIEUR,11.59
ABEGPIUSD,12.91
ABEIOPA2EUR,19.2
ABEIOPA2USD,21.38
ABEIOPAAAUDH,14.2
ABEIOPAAEUR,14.24
ABEIOPAAUSDH,14.19
ABEIOPAEUR,7.19
ABEIOPATAUDH,15.61
ABEIOPATEUR,7.19
ABEIOPATUSD,8.01
ABEIOPATUSDH,15.53
ABEIOPAUSD,8.01
ABEIOPB2EUR,17.06
ABEIOPB2USD,19
ABEIOPBAAUDH,13.96
ABEIOPBAEUR,13.99
ABEIOPBAUSDH,13.95
ABEIOPBEUR,7.19
ABEIOPBTEUR,7.19
ABEIOPBTUSD,8.01
ABEIOPBUSD,8.01
ABEIOPC2EUR,18.58
ABEIOPC2USD,20.69
ABEIOPCEUR,7.19
ABEIOPCUSD,8.01
ABEIOPI2EUR,12.51
ABEIOPI2USD,13.93
ABEIOPI2USDH,21.4
ABEIOPIAEUR,15.15
ABEIOPIAUSDH,15.17
ABEIOPIEUR,7.19
ABEIOPITEUR,15.21
ABEIOPITUSDH,14.75
ABEIOPIUSD,8.01
ABEIOPS1EUR,20.23
ABEIOPS1USD,22.53
ABEIOPS1USDH,19.79
ABEIOPSAUSDH,98.41
ABEMDA2EUR,26.28
ABEMDA2HEDGE,20.3
ABEMDA2USD,29.27
ABEMDAAAUDH,14.05
ABEMDAAUSD,14.2
ABEMDAAZARH,93.91
ABEMDAEUR,14.09
ABEMDATAUDH,14.62
ABEMDATCADH,13.11
ABEMDATEUR,14.15
ABEMDATHEDGE,14.78
ABEMDATNZDH,12.98
ABEMDATUSD,15.76
ABEMDAUSD,15.69
ABEMDB2EUR,23.72
ABEMDB2HEDGE,19.16
ABEMDB2USD,26.41
ABEMDBAAUDH,13.69
ABEMDBAUSD,13.84
ABEMDBAZARH,91.31
ABEMDBEUR,14.09
ABEMDBTAUDH,14.6
ABEMDBTEUR,14.12
ABEMDBTHEDGE,14.81
ABEMDBTUSD,15.73
ABEMDBUSD,15.69
ABEMDCEUR,14.09
ABEMDCUSD,15.69
ABEMDIEUR,14.09
ABEMDITUSD,13.31
ABEMDIUSD,15.69
ABEMDS12USD,28.47
ABEMDSAUSD,97.14
ABEMGAAUDH,16.65
ABEMGAEUR,31.29
ABEMGAUSD,34.85
ABEMGBEUR,24.86
ABEMGBUSD,27.68
ABEMGCAUDH,16.05
ABEMGCEUR,26.35
ABEMGCUSD,29.34
ABEMGIAUDH,17.28
ABEMGIEUR,36.53
ABEMGIUSD,40.68
ABEMGS1EUR,37.61
ABEMGS1USD,41.88
ABEMMAACADH,15.68
ABEMMAADAUDH,11.7
ABEMMAADCADH,11.81
ABEMMAADHEDGE,12.12
ABEMMAADUSD,12.13
ABEMMAADZARH,91.35
ABEMMAAHEDGE,13.2
ABEMMAAUDH,16.44
ABEMMAAUSD,13.59
ABEMMABDUSD,12.21
ABEMMABUSD,12.92
ABEMMAIDUSD,11.02
ABEMMAIUSD,14.18
ABEMMAS1USD,14.32
ABEMVAEUR,34.28
ABEMVAUSD,38.17
ABEMVIEUR,36.15
ABEMVIUSD,40.26
ABEMVS1EUR,36.59
ABEMVS1USD,40.75
ABEMVSUSD,45.23
ABESVAEUR,19.63
ABESVAUSD,21.86
ABESVBEUR,18.5
ABESVBUSD,20.6
ABESVCEUR,19.12
ABESVCUSD,21.29
ABESVS1USD,23.3
ABESVS1USDH,16.21
ABEVPADAUDH,14.81
ABEVPADHEDGE,14.55
ABEVPADUSDH,14.37
ABEVPAEUR,13.31
ABEVPAUSD,14.82
ABEVPBDAUDH,14.74
ABEVPBDHEDGE,15.02
ABEVPBDUSDH,14.86
ABEVPBEUR,11.48
ABEVPBUSD,12.78
ABEVPCEUR,12.5
ABEVPCUSD,13.92
ABEVPIEUR,16.19
ABEVPIUSD,18.03
ABEVPS1EUR,17.01
ABEVPS1USD,18.94
ABEVPSDEUR,99.29
ABGBPA2EUR,16.02
ABGBPA2HEDGE,15.53
ABGBPA2USD,17.84
ABGBPAAAUDH,13.56
ABGBPAAUSD,13.58
ABGBPAEUR,7.45
ABGBPATAUDH,13.1
ABGBPATCADH,13.2
ABGBPATEUR,7.44
ABGBPATHEDGE,12.88
ABGBPATNZDH,13.45
ABGBPATUSD,8.29
ABGBPAUSD,8.3
ABGBPB2EUR,13.15
ABGBPB2USD,14.64
ABGBPBAAUDH,13.22
ABGBPBAUSD,13.24
ABGBPBEUR,7.45
ABGBPBTEUR,7.48
ABGBPBTHEDGE,12.96
ABGBPBTUSD,8.33
ABGBPBUSD,8.3
ABGBPC2EUR,13.5
ABGBPC2HEDGE,15.07
ABGBPC2USD,15.03
ABGBPCEUR,7.45
ABGBPCUSD,8.3
ABGBPI2EUR,11.23
ABGBPI2HEDGE,16.02
